gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.7,78.0,58.0,0.0,0.9407478510581679,15.0,11.0,0.8032570068392482,0.7762771899379556,6.0,0.0,1.0,3.0
-0.7,78.0,59.0,0.0,0.6231532158991004,7.0,8.0,0.3339442681817079,0.5892946696023647,1.0,0.0,0.0,2.0
-0.7,78.0,60.0,1.0,0.23268905111226845,2.0,4.0,0.16454309778448784,0.32452116290911687,0.0,2.0,0.0,0.0
-0.7,78.0,61.0,0.0,0.3602532532534449,3.0,5.0,0.12310484519538682,0.39733355215037625,1.0,0.0,0.0,3.0
-0.7,78.0,62.0,0.0,0.11238952391656398,5.0,8.0,0.2308748370850444,0.5559303561285539,4.0,0.0,0.0,7.0
-0.7,78.0,63.0,0.0,0.6839567940907962,10.0,5.0,0.5608092242622582,0.30295163026499033,3.0,0.0,3.0,1.0
-0.7,78.0,64.0,1.0,0.48666334376868303,0.0,5.0,4.4024719298758306e-17,0.3356860779763094,0.0,2.0,0.0,3.0
-0.7,78.0,65.0,0.0,0.6347787338124155,9.0,7.0,0.5234946406892659,0.3968232888858841,1.0,0.0,1.0,0.0
-0.7,78.0,66.0,0.0,0.44404252325610205,13.0,10.0,0.6508708520970696,0.5928646475667717,4.0,0.0,2.0,3.0
-0.7,78.0,67.0,1.0,0.10657839766513222,12.0,9.0,0.6908269461942531,0.6060257021641626,7.0,0.0,0.0,4.0
-0.7,78.0,68.0,0.0,0.3589939273151185,3.0,3.0,0.21049502750415158,0.15448024883056105,3.0,0.0,0.0,3.0
-0.7,78.0,69.0,0.0,0.5275776371558296,4.0,6.0,0.24103183900901062,0.4202584331928197,1.0,0.0,0.0,3.0
-0.7,78.0,70.0,1.0,0.4456550702532457,8.0,7.0,0.4674318844883371,0.4438254256930359,2.0,0.0,0.0,1.0
-0.7,78.0,71.0,1.0,0.8691680281420592,10.0,7.0,0.36028655452158026,0.4154445479409954,3.0,0.0,0.0,0.0
-0.7,78.0,72.0,0.0,0.0431041960083095,6.0,10.0,0.34986573359541995,0.6416340595731421,0.0,0.0,0.0,4.0
-0.7,78.0,73.0,1.0,0.8423695453139245,11.0,8.0,0.6206408387629422,0.6761778948376472,4.0,0.0,1.0,2.0
-0.7,78.0,74.0,0.0,0.7941058342603067,9.0,7.0,0.4267701964182494,0.3782330634728378,1.0,0.0,3.0,2.0
-0.7,78.0,75.0,1.0,0.6543622161443282,13.0,9.0,0.6729066168274666,0.585487593341577,2.0,0.0,3.0,1.0
-0.7,78.0,76.0,0.0,0.40332500267338167,8.0,8.0,0.3191869610629592,0.5166010375823902,2.0,1.0,2.0,3.0
-0.7,78.0,77.0,1.0,0.7761638212864902,12.0,6.0,0.570658398624138,0.313036132945903,4.0,0.0,2.0,0.0
-0.7,78.0,78.0,1.0,0.6342814992527293,13.0,5.0,0.6007059333800732,0.2540486553114007,6.0,0.0,3.0,1.0
-0.7,78.0,79.0,0.0,0.25530545709919017,6.0,7.0,0.3462548412040267,0.432617239389679,3.0,2.0,0.0,2.0
-0.7,78.0,80.0,1.0,0.1355091647959077,4.0,8.0,0.2253679914381295,0.4314387827270935,2.0,2.0,0.0,4.0
-0.7,78.0,81.0,1.0,0.913083672528297,9.0,6.0,0.4127867559786227,0.2949266383809618,2.0,0.0,1.0,0.0
-0.7,78.0,82.0,0.0,0.5961653004605127,9.0,7.0,0.541615220442075,0.48548683064871895,3.0,0.0,1.0,2.0
-0.7,78.0,83.0,1.0,0.7422180578107953,8.0,5.0,0.5433382772350658,0.3470629607503803,2.0,0.0,1.0,0.0
-0.7,78.0,84.0,1.0,0.9152931209160178,12.0,13.0,0.5601950594832973,0.7839684563754297,1.0,0.0,1.0,3.0
