gamma,replicate,individual,type,theshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.4,60.0,47.0,1.0,0.27003102113697264,8.0,12.0,0.4460197620168401,0.5683004381546652,2.0,3.0,0.0,3.0
-0.4,60.0,48.0,0.0,0.5284987668278152,10.0,13.0,0.32240873002848974,0.6799884071926886,1.0,2.0,2.0,4.0
-0.4,60.0,49.0,1.0,0.3437739514340451,6.0,6.0,0.31944208828843235,0.22214166802579868,1.0,0.0,2.0,3.0
-0.4,60.0,50.0,0.0,0.30742769036655726,2.0,4.0,0.06408008613725834,0.18883038528762652,2.0,0.0,0.0,4.0
-0.4,60.0,51.0,0.0,0.1579628572253864,2.0,8.0,0.08176747614640255,0.39719664490388473,1.0,2.0,0.0,5.0
-0.4,60.0,52.0,1.0,0.5692190095774146,14.0,11.0,0.5820283031902095,0.5215771765079215,2.0,0.0,3.0,2.0
-0.4,60.0,53.0,0.0,0.1627824353919225,6.0,13.0,0.27376800573090915,0.8099186041308191,3.0,4.0,0.0,6.0
-0.4,60.0,54.0,1.0,0.257392113951059,4.0,6.0,0.24602566860198843,0.2926850688177101,3.0,1.0,0.0,4.0
-0.4,60.0,55.0,1.0,0.6756507653898272,6.0,8.0,0.20576923496113358,0.4625420817069113,1.0,1.0,2.0,4.0
-0.4,60.0,56.0,1.0,0.2991393028625945,2.0,6.0,0.12083046305532753,0.2783137621201633,0.0,2.0,0.0,2.0
-0.4,60.0,57.0,1.0,0.5929238914587731,15.0,9.0,0.7406988202610287,0.5012897451636447,8.0,0.0,2.0,4.0
-0.4,60.0,58.0,0.0,0.13576266936807047,3.0,7.0,0.09587469321769222,0.4067145653254412,1.0,2.0,0.0,3.0
-0.4,60.0,59.0,1.0,0.298723874821347,8.0,7.0,0.4162745545849785,0.2737629220466261,3.0,1.0,2.0,3.0
-0.4,60.0,60.0,0.0,0.16110117868088203,3.0,4.0,0.1688471874895604,0.13131558199676496,2.0,2.0,0.0,1.0
-0.4,60.0,61.0,0.0,0.2908730657761722,5.0,3.0,0.18159446121687434,0.12275965528880496,3.0,0.0,0.0,1.0
-0.4,60.0,62.0,1.0,0.39059002634433493,17.0,11.0,0.8395579092489275,0.6200614390604509,2.0,0.0,4.0,0.0
-0.4,60.0,63.0,1.0,0.21639948127358677,3.0,7.0,0.16647773444017247,0.2959336169332775,0.0,1.0,0.0,3.0
-0.4,60.0,64.0,0.0,0.15532015016851564,3.0,8.0,0.15800904448020167,0.3958636922341256,1.0,2.0,0.0,4.0
-0.4,60.0,65.0,0.0,0.3111085301096971,11.0,12.0,0.3888862237656371,0.6536803637713815,3.0,2.0,1.0,3.0
-0.4,60.0,66.0,0.0,0.8831295539520456,15.0,7.0,0.5359762181469255,0.28058774895359784,8.0,0.0,1.0,1.0
-0.4,60.0,67.0,1.0,0.39475097110303325,11.0,10.0,0.5144704909631836,0.4700305598817401,2.0,1.0,4.0,4.0
-0.4,60.0,68.0,1.0,0.9523800869702862,7.0,8.0,0.34280325955305546,0.3840096809542595,1.0,0.0,0.0,2.0
-0.4,60.0,69.0,0.0,0.9688742855386531,9.0,9.0,0.43082351290625515,0.43614711327205774,3.0,0.0,0.0,3.0
-0.4,60.0,70.0,0.0,0.043451741524620724,2.0,9.0,0.07494763210184241,0.44881565671646334,1.0,3.0,0.0,5.0
-0.4,60.0,71.0,1.0,0.13606464194110157,7.0,10.0,0.3634383858797275,0.5055685972404096,3.0,1.0,0.0,5.0
-0.4,60.0,72.0,0.0,0.8043438301664427,9.0,5.0,0.3341063361324892,0.1858130789677018,3.0,0.0,2.0,1.0
-0.4,60.0,73.0,0.0,0.25426317443998936,5.0,12.0,0.17828981232389168,0.5943469616879267,2.0,1.0,0.0,8.0
