gamma,replicate,individual,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.9,2,131,1,1,1,0
0.9,2,132,0,0,0,3
0.9,2,133,2,0,3,0
0.9,2,134,0,1,0,1
0.9,2,135,0,0,0,2
0.9,2,136,1,1,2,0
0.9,2,137,0,1,0,0
0.9,2,138,1,0,2,1
0.9,2,139,1,1,0,0
0.9,2,140,0,1,0,2
0.9,2,141,1,0,1,1
0.9,2,142,0,3,0,2
0.9,2,143,0,2,0,3
0.9,2,144,0,2,0,0
0.9,2,145,0,0,1,1
0.9,2,146,0,0,1,1
0.9,2,147,0,1,0,0
0.9,2,148,0,1,1,2
0.9,2,149,3,0,2,0
0.9,2,150,0,1,0,0
0.9,2,151,1,0,0,0
0.9,2,152,0,0,1,0
0.9,2,153,0,1,0,1
0.9,2,154,1,0,1,0
0.9,2,155,0,1,0,1
0.9,2,156,0,3,0,2
0.9,2,157,0,1,0,1
0.9,2,158,0,1,0,0
0.9,2,159,0,2,0,1
0.9,2,160,0,0,0,1
0.9,2,161,0,1,0,0
0.9,2,162,0,2,1,1
0.9,2,163,0,3,0,1
0.9,2,164,3,2,0,1
0.9,2,165,1,0,1,1
0.9,2,166,0,1,0,1
0.9,2,167,0,0,0,1
0.9,2,168,1,0,1,1
0.9,2,169,1,0,2,1
0.9,2,170,0,3,0,1
0.9,2,171,0,1,0,0
0.9,2,172,0,0,2,0
0.9,2,173,1,0,0,4
0.9,2,174,2,0,2,0
0.9,2,175,0,3,0,0
0.9,2,176,0,0,2,0
0.9,2,177,0,1,0,0
0.9,2,178,1,0,0,3
0.9,2,179,1,0,3,0
0.9,2,180,0,0,0,0
0.9,2,181,0,0,0,1
0.9,2,182,0,1,0,1
0.9,2,183,0,1,0,1
0.9,2,184,0,0,0,0
0.9,2,185,0,0,1,0
0.9,2,186,0,1,0,1
0.9,2,187,0,1,0,2
0.9,2,188,0,3,0,0
0.9,2,189,1,1,0,2
0.9,2,190,1,1,1,0
0.9,2,191,0,0,0,1
0.9,2,192,0,1,0,1
0.9,2,193,0,2,0,0
0.9,2,194,0,1,0,0
0.9,2,195,1,0,0,1
0.9,2,196,2,0,2,0
0.9,2,197,0,0,0,0
0.9,2,198,0,1,1,2
0.9,2,199,1,2,1,1
0.9,3,0,0,2,3,0
0.9,3,1,0,0,0,0
0.9,3,2,0,0,0,0
0.9,3,3,0,0,0,3
0.9,3,4,0,2,0,1
0.9,3,5,0,0,0,1
0.9,3,6,0,1,0,1
0.9,3,7,0,1,0,0
0.9,3,8,2,0,3,0
0.9,3,9,0,1,0,0
0.9,3,10,0,2,0,4
0.9,3,11,3,0,1,2
0.9,3,12,0,2,0,2
0.9,3,13,1,2,1,0
0.9,3,14,2,1,2,0
0.9,3,15,0,1,1,1
0.9,3,16,1,3,0,4
0.9,3,17,0,0,0,1
0.9,3,18,0,1,0,1
0.9,3,19,0,0,1,1
0.9,3,20,0,2,0,1
0.9,3,21,0,1,0,3
0.9,3,22,0,1,0,2
0.9,3,23,0,0,0,1
0.9,3,24,0,2,0,2
0.9,3,25,1,0,0,0
0.9,3,26,0,2,1,0
0.9,3,27,0,0,0,0
0.9,3,28,0,2,0,3
0.9,3,29,0,3,0,1
0.9,3,30,0,2,0,2
0.9,3,31,2,1,1,2
0.9,3,32,0,0,0,0
0.9,3,33,0,0,1,2
0.9,3,34,0,1,1,1
0.9,3,35,0,3,0,3
0.9,3,36,0,1,1,0
0.9,3,37,1,2,1,0
0.9,3,38,1,0,1,1
0.9,3,39,0,0,0,0
0.9,3,40,0,0,1,1
0.9,3,41,0,1,0,0
0.9,3,42,0,2,0,0
0.9,3,43,0,2,0,2
0.9,3,44,0,1,0,1
0.9,3,45,0,0,1,0
0.9,3,46,1,2,0,2
0.9,3,47,0,1,0,0
0.9,3,48,0,1,0,3
0.9,3,49,0,2,0,0
0.9,3,50,2,0,1,5
0.9,3,51,0,0,0,1
0.9,3,52,1,1,1,1
0.9,3,53,1,1,0,2
0.9,3,54,0,1,0,1
0.9,3,55,2,0,0,0
0.9,3,56,0,0,0,1
0.9,3,57,0,0,0,0
0.9,3,58,1,0,2,0
0.9,3,59,0,0,0,1
0.9,3,60,1,1,0,0
0.9,3,61,0,1,0,1
0.9,3,62,0,3,0,3
0.9,3,63,0,5,0,1
0.9,3,64,0,3,0,4
0.9,3,65,0,3,1,3
0.9,3,66,0,3,1,1
0.9,3,67,0,2,0,2
0.9,3,68,1,0,2,0
0.9,3,69,1,1,0,0
0.9,3,70,0,0,0,1
0.9,3,71,0,0,0,2
0.9,3,72,1,0,2,0
0.9,3,73,3,1,1,0
0.9,3,74,0,0,0,1
0.9,3,75,0,1,0,0
0.9,3,76,0,0,0,1
0.9,3,77,0,2,0,2
0.9,3,78,0,1,0,5
0.9,3,79,0,1,1,1
0.9,3,80,0,0,0,0
0.9,3,81,0,1,0,1
0.9,3,82,0,2,0,1
0.9,3,83,0,1,0,1
0.9,3,84,2,0,1,0
0.9,3,85,0,0,1,0
0.9,3,86,0,1,0,4
0.9,3,87,0,0,0,0
0.9,3,88,0,0,0,3
0.9,3,89,0,2,0,5
0.9,3,90,0,2,0,3
0.9,3,91,0,1,0,0
0.9,3,92,0,0,0,1
0.9,3,93,0,2,0,0
0.9,3,94,1,4,0,0
0.9,3,95,0,0,0,0
0.9,3,96,1,1,1,0
0.9,3,97,0,2,0,0
0.9,3,98,0,1,0,3
0.9,3,99,0,0,0,0
0.9,3,100,0,0,0,0
0.9,3,101,0,0,0,2
0.9,3,102,0,1,2,2
0.9,3,103,0,2,0,2
0.9,3,104,0,1,0,4
0.9,3,105,0,1,0,1
0.9,3,106,1,0,2,0
0.9,3,107,0,1,2,0
0.9,3,108,1,1,0,1
0.9,3,109,1,0,0,1
0.9,3,110,0,1,0,1
0.9,3,111,0,2,0,3
0.9,3,112,1,0,1,1
0.9,3,113,1,1,0,2
0.9,3,114,0,0,0,1
0.9,3,115,0,0,0,3
0.9,3,116,1,0,0,0
0.9,3,117,0,2,0,1
0.9,3,118,0,1,0,0
0.9,3,119,0,3,2,1
0.9,3,120,0,0,0,0
0.9,3,121,0,3,0,2
0.9,3,122,0,2,0,4
0.9,3,123,0,0,0,2
0.9,3,124,0,0,0,2
0.9,3,125,1,1,1,4
0.9,3,126,0,2,0,0
0.9,3,127,0,2,0,0
0.9,3,128,0,2,0,2
0.9,3,129,0,2,0,1
