gamma,replicate,individual,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.8,2,109,0,1,1,0
-0.8,2,110,0,1,0,3
-0.8,2,111,0,0,0,1
-0.8,2,112,1,0,2,0
-0.8,2,113,0,1,0,3
-0.8,2,114,0,0,2,0
-0.8,2,115,0,0,3,1
-0.8,2,116,0,1,0,2
-0.8,2,117,2,1,1,1
-0.8,2,118,0,0,1,0
-0.8,2,119,1,0,1,1
-0.8,2,120,0,3,1,0
-0.8,2,121,0,1,1,0
-0.8,2,122,0,4,0,3
-0.8,2,123,0,1,0,1
-0.8,2,124,0,1,1,1
-0.8,2,125,0,0,3,1
-0.8,2,126,0,1,2,1
-0.8,2,127,0,2,0,1
-0.8,2,128,0,1,0,0
-0.8,2,129,1,0,1,0
-0.8,2,130,0,0,3,0
-0.8,2,131,0,1,0,0
-0.8,2,132,0,3,0,2
-0.8,2,133,2,1,1,0
-0.8,2,134,0,4,0,2
-0.8,2,135,1,1,0,2
-0.8,2,136,1,1,3,0
-0.8,2,137,0,3,0,0
-0.8,2,138,0,0,2,1
-0.8,2,139,0,3,2,0
-0.8,2,140,0,1,0,1
-0.8,2,141,0,1,2,1
-0.8,2,142,0,1,0,1
-0.8,2,143,2,0,0,0
-0.8,2,144,1,1,3,0
-0.8,2,145,1,3,0,2
-0.8,2,146,0,1,1,0
-0.8,2,147,0,0,6,1
-0.8,2,148,0,1,0,1
-0.8,2,149,0,3,2,0
-0.8,2,150,0,1,3,0
-0.8,2,151,0,0,2,0
-0.8,2,152,3,0,0,0
-0.8,2,153,0,0,0,0
-0.8,2,154,2,1,1,0
-0.8,2,155,0,1,0,0
-0.8,2,156,0,1,0,2
-0.8,2,157,0,3,0,1
-0.8,2,158,0,1,0,1
-0.8,2,159,1,2,0,2
-0.8,2,160,0,1,1,0
-0.8,2,161,0,2,0,2
-0.8,2,162,0,0,1,0
-0.8,2,163,0,2,0,2
-0.8,2,164,0,1,1,0
-0.8,2,165,0,1,2,1
-0.8,2,166,0,0,0,1
-0.8,2,167,0,1,2,0
-0.8,2,168,0,0,0,0
-0.8,2,169,0,1,0,1
-0.8,2,170,0,1,0,2
-0.8,2,171,0,0,0,0
-0.8,2,172,0,0,0,0
-0.8,2,173,1,0,1,0
-0.8,2,174,1,4,0,0
-0.8,2,175,1,1,1,0
-0.8,2,176,0,2,0,2
-0.8,2,177,1,0,1,2
-0.8,2,178,1,0,3,0
-0.8,2,179,0,1,0,1
-0.8,2,180,0,0,0,1
-0.8,2,181,0,0,0,0
-0.8,2,182,0,2,0,2
-0.8,2,183,0,1,0,1
-0.8,2,184,1,0,1,0
-0.8,2,185,0,0,0,2
-0.8,2,186,0,0,1,0
-0.8,2,187,0,0,1,0
-0.8,2,188,0,1,1,0
-0.8,2,189,0,0,2,0
-0.8,2,190,0,1,1,1
-0.8,2,191,0,1,0,1
-0.8,2,192,0,0,0,0
-0.8,2,193,3,0,3,0
-0.8,2,194,1,0,2,0
-0.8,2,195,0,1,5,1
-0.8,2,196,0,4,0,3
-0.8,2,197,0,1,0,0
-0.8,2,198,0,0,4,0
-0.8,2,199,0,0,1,1
-0.8,3,0,1,0,0,0
-0.8,3,1,1,0,0,2
-0.8,3,2,0,2,1,0
-0.8,3,3,0,1,3,0
-0.8,3,4,0,1,1,1
-0.8,3,5,0,2,0,2
-0.8,3,6,1,1,3,0
-0.8,3,7,0,3,0,0
