gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.5,13.0,117.0,1.0,0.8316407901366288,15.0,12.0,0.5961981915871056,0.7473628379881097,3.0,0.0,1.0,1.0
0.5,13.0,118.0,0.0,0.8481666513809827,10.0,6.0,0.43584924966098454,0.26634479193444943,2.0,0.0,3.0,1.0
0.5,13.0,119.0,1.0,0.9894280133077479,22.0,11.0,0.8096939527304344,0.5783235602683566,7.0,0.0,5.0,1.0
0.5,13.0,120.0,0.0,0.5696627484128897,9.0,11.0,0.3307713619254411,0.5985795038076261,0.0,0.0,2.0,4.0
0.5,13.0,121.0,0.0,0.9636006697492713,9.0,7.0,0.3696925295025072,0.41588213661274637,2.0,0.0,0.0,0.0
0.5,13.0,122.0,1.0,0.5304842686935938,12.0,9.0,0.615522549596526,0.4443765646179304,3.0,0.0,2.0,2.0
0.5,13.0,123.0,0.0,0.010486840805701614,2.0,10.0,0.08153099498005409,0.5297582269412712,1.0,2.0,0.0,7.0
0.5,13.0,124.0,0.0,0.9479715370653914,13.0,9.0,0.5225480495786096,0.5103418276985421,4.0,0.0,1.0,1.0
0.5,13.0,125.0,1.0,0.29138752141239943,7.0,10.0,0.31709199566609964,0.6859317930501925,1.0,0.0,1.0,5.0
0.5,13.0,126.0,0.0,0.35892913561827866,12.0,12.0,0.41029916945807887,0.6198293012201901,1.0,1.0,1.0,1.0
0.5,13.0,127.0,0.0,0.18295549190535754,4.0,9.0,0.19165909892865382,0.5301549730428837,3.0,2.0,0.0,6.0
0.5,13.0,128.0,0.0,0.11503808150207184,0.0,7.0,1.3807468605238444e-17,0.40509181758175256,0.0,3.0,0.0,4.0
0.5,13.0,129.0,1.0,0.683596575493734,6.0,7.0,0.19531424315980764,0.36840415967708684,0.0,0.0,0.0,1.0
0.5,13.0,130.0,0.0,0.22083209187191233,5.0,11.0,0.2485458979275835,0.5546401940408519,1.0,5.0,1.0,3.0
0.5,13.0,131.0,0.0,0.8696170563995533,12.0,8.0,0.4141586676078587,0.361984232664402,2.0,0.0,2.0,0.0
0.5,13.0,132.0,0.0,0.17537205005964818,1.0,3.0,0.04396493495943884,0.15734885723067324,0.0,2.0,0.0,0.0
0.5,13.0,133.0,0.0,0.05088817464141526,3.0,4.0,0.13547876439347575,0.21827278845239045,1.0,1.0,1.0,2.0
0.5,13.0,134.0,0.0,0.3946380405897044,4.0,8.0,0.20633927160442211,0.529712032425359,0.0,1.0,0.0,3.0
0.5,13.0,135.0,0.0,0.5243754826722747,12.0,6.0,0.5142015637763006,0.23276864535947542,4.0,0.0,3.0,1.0
0.5,13.0,136.0,1.0,0.960572217011274,16.0,10.0,0.6019240650684236,0.5799624065464509,4.0,0.0,3.0,1.0
0.5,13.0,137.0,0.0,0.26642775338797864,5.0,12.0,0.26561039279509513,0.6434564559715735,2.0,3.0,0.0,6.0
0.5,13.0,138.0,1.0,0.619211745049181,5.0,4.0,0.2254158312573278,0.20194896268319154,0.0,0.0,3.0,2.0
0.5,13.0,139.0,1.0,0.31381882068654965,10.0,9.0,0.5188452649078423,0.47828451077000683,2.0,1.0,1.0,1.0
0.5,13.0,140.0,1.0,0.9357963857345117,12.0,10.0,0.43328694852014,0.5644667321589792,1.0,0.0,1.0,0.0
0.5,13.0,141.0,1.0,0.9321543617161974,6.0,5.0,0.28285873801858336,0.2657836039115394,1.0,0.0,0.0,0.0
0.5,13.0,142.0,0.0,0.15687402369896297,3.0,14.0,0.11803185663772761,0.8221491027058804,0.0,4.0,0.0,7.0
0.5,13.0,143.0,0.0,0.6700625687440626,15.0,10.0,0.6932729704450227,0.3967885623743741,5.0,0.0,2.0,2.0
0.5,13.0,144.0,1.0,0.31435006439239377,7.0,7.0,0.2819229627759917,0.43743608852881555,2.0,0.0,0.0,2.0
0.5,13.0,145.0,1.0,0.13595244798359474,5.0,7.0,0.19248953360451454,0.441782284363998,3.0,2.0,0.0,3.0
0.5,13.0,146.0,0.0,0.5982937566714708,14.0,9.0,0.6362313754652567,0.5040707421853303,4.0,0.0,3.0,2.0
0.5,13.0,147.0,1.0,0.4024538575767256,2.0,6.0,0.08004888775849102,0.3157203705409378,2.0,2.0,0.0,4.0
0.5,13.0,148.0,1.0,0.19651746791263291,3.0,7.0,0.10202559558568987,0.3989328629756635,0.0,2.0,0.0,2.0
0.5,13.0,149.0,0.0,0.03937035155493496,4.0,9.0,0.1348322817654169,0.3655915170746274,0.0,1.0,1.0,5.0
0.5,13.0,150.0,0.0,0.7331428039794947,0.0,2.0,1.3807468605238444e-17,0.08679824555231093,0.0,1.0,0.0,1.0
0.5,13.0,151.0,0.0,0.1902030207836437,4.0,5.0,0.22256180411558926,0.3070442395356727,3.0,1.0,0.0,3.0
0.5,13.0,152.0,0.0,0.11994946466888445,2.0,7.0,0.08116159317046497,0.3481177822849692,0.0,1.0,0.0,4.0
