gamma,replicate,assort_type_final,assort_type_initial,assort_thresh_final,assort_thresh_initial
-0.3,15,0.234980875,-0.025641026,-0.201535012,-0.052842827
-0.3,16,0.341750212,-0.027514449,-0.105225455,-0.009825668
-0.3,17,0.379344433,0.034130718,-0.114171675,0.032481447
-0.3,18,0.396593948,0.061266445,-0.144039523,-0.016822642
-0.3,19,0.31,0.027316102,-0.076242273,0.093504748
-0.3,20,0.322448125,-0.020312471,-0.140780084,-0.043831521
-0.3,21,0.357876981,-0.060059628,-0.172303159,-0.033138567
-0.3,22,0.34489764,0.024993906,-0.130578521,-0.043977748
-0.3,23,0.347417408,0.013791895,-0.131913642,0.004033678
-0.3,24,0.327372831,-0.055323193,-0.112801607,-0.044147372
-0.3,25,0.361876833,0.026220393,-0.091174855,0.024535799
-0.3,26,0.28628557,-0.052514801,-0.142050475,0.001503014
-0.3,27,0.38914098,0.007498449,-0.183989004,-0.011060777
-0.3,28,0.374859343,0.012486113,-0.156466594,-0.037478413
-0.3,29,0.414908579,0.02990299,-0.209480508,-0.035379847
-0.3,30,0.401601467,0.019993875,-0.200044259,-0.018551359
-0.3,31,0.364857093,-0.005760606,-0.179233465,-0.017783782
-0.3,32,0.319485361,-0.085061035,-0.233285299,-0.065451241
-0.3,33,0.403355499,0.008605852,-0.122471392,-0.013721176
-0.3,34,0.302694534,-0.00010001,-0.129268085,0.048671841
-0.3,35,0.346248679,-0.015025376,-0.202565366,-0.016084528
-0.3,36,0.35241804,-0.010006313,-0.165918053,0.004518218
-0.3,37,0.297411079,0.011819082,-0.127160699,-0.062507246
-0.3,38,0.334063527,0.003405449,-0.127906593,-0.031591029
-0.3,39,0.34998375,-0.043871713,-0.175536942,0.045128376
-0.3,40,0.344668238,-0.017577908,-0.161729739,-0.020041536
-0.3,41,0.376891496,-0.031263298,-0.081310441,-0.052892371
-0.3,42,0.327263491,0.004975124,-0.147412433,0.011632611
-0.3,43,0.362419306,0.026695503,-0.148425179,-0.007042771
-0.3,44,0.324894515,0.054976374,-0.14646494,-0.067550468
-0.3,45,0.367214258,-0.00510051,-0.073838065,-0.0197605
-0.3,46,0.336512544,0.045876499,-0.100289346,0.061787773
-0.3,47,0.367332936,0.069994187,-0.113465841,0.064846814
-0.3,48,0.342498973,-0.035232927,-0.104469551,-0.006597978
-0.3,49,0.312498926,-0.013489736,-0.109322916,0.064201858
-0.3,50,0.357070653,0.025183287,-0.114943492,0.057134178
-0.3,51,0.343814765,0.007150952,-0.126211854,-0.006127105
-0.3,52,0.372145851,0.042462596,-0.105901593,0.046493325
-0.3,53,0.327490543,-0.053094011,-0.162984299,0.009480367
-0.3,54,0.330381285,-0.027694298,-0.169089199,-0.005289981
-0.3,55,0.327263491,-0.017539748,-0.186682984,-0.061514274
-0.3,56,0.374436993,0.01746162,-0.162453098,-0.056931301
-0.3,57,0.301582235,0.05107513,-0.162149817,-0.031678102
-0.3,58,0.248303986,-0.005,-0.164482861,0.01780691
-0.3,59,0.312318409,-0.007577143,-0.12696472,-0.010622641
-0.3,60,0.324577861,0.0097772,-0.134453276,-0.019548103
-0.3,61,0.320536989,0.031699639,-0.167738899,-0.055389323
-0.3,62,0.359984,0.016822529,-0.152001563,-0.029602628
-0.3,63,0.411373332,0.061430911,-0.15219999,-0.019302021
-0.3,64,0.346960222,-0.012514238,-0.164883215,0.025766475
-0.3,65,0.344170641,0.009944309,-0.108150028,0.034780396
-0.3,66,0.311181558,-0.000306344,-0.130580385,-0.046213491
-0.3,67,0.367529412,0.002373738,-0.134968827,0.008715765
-0.3,68,0.287311806,-0.08597738,-0.174095578,0.042159422
-0.3,69,0.394030449,0.044402752,-0.14536518,-0.028108568
-0.3,70,0.409819257,0.027425537,-0.184696604,-0.004952232
-0.3,71,0.352450422,-0.044734753,-0.175787311,-0.032280124
-0.3,72,0.336503719,0.001674822,-0.092622856,-0.037012354
-0.3,73,0.37249902,0.029993937,-0.162049332,0.022936585
-0.3,74,0.347474511,-0.000625391,-0.151042575,0.035031529
-0.3,75,0.360821157,0.03242592,-0.164012076,0.056143097
-0.3,76,0.381176297,0.004496026,-0.162593064,-0.018815937
-0.3,77,0.347474511,0.01490149,-0.129845832,-0.070108113
-0.3,78,0.429771909,0.014975374,-0.15534364,-0.035968992
-0.3,79,0.299918831,0.02746201,-0.126744477,0.043938908
-0.3,80,0.327036286,-0.020057378,-0.130402123,-0.02579414
-0.3,81,0.318537937,-0.090006813,-0.151345049,-0.004922473
-0.3,82,0.372451953,0.015159465,-0.131547082,-0.000638365
-0.3,83,0.322117632,-0.02,-0.12902879,-0.02230397
-0.3,84,0.307498918,-0.030644153,-0.116817811,0.012756968
-0.3,85,0.317473339,-0.0685435,-0.158811255,-0.024318941
-0.3,86,0.36998425,0.025,-0.166354981,-0.055411287
-0.3,87,0.332178454,-0.022629427,-0.138316287,0.01291615
-0.3,88,0.392385123,0.006815634,-0.109086454,-0.026857081
-0.3,89,0.31570265,0.008208577,-0.091130649,-0.000776866
-0.3,90,0.354935494,0.004377736,-0.191888422,-0.040962364
-0.3,91,0.347131741,0.039513754,-0.118747378,0.038785829
-0.3,92,0.319791686,-0.070669168,-0.074144887,0.010368348
-0.3,93,0.393164322,0.051419508,-0.142547126,-0.038745701
-0.3,94,0.374902328,-0.000306344,-0.160364118,-0.043102335
-0.3,95,0.314653043,0.032486394,-0.079824649,0.025480185
-0.3,96,0.359215038,0.004776075,-0.120376996,0.017915681
-0.3,97,0.228258759,-0.072783282,-0.156548459,-0.040370175
-0.3,98,0.242404117,-0.073548387,-0.152098093,-0.008954385
-0.3,99,0.360821157,-0.05287015,-0.15299111,-0.025917078
-0.4,0,0.323918269,-0.060006625,-0.123187285,-0.027809854
-0.4,1,0.352134563,0.012053881,-0.108425674,0.003126592
-0.4,2,0.374808535,0.042498504,-0.120091705,0.046329347
-0.4,3,0.319791686,-0.042540724,-0.167047829,0.003940011
-0.4,4,0.352498988,-0.017628794,-0.166593869,-0.011226107
-0.4,5,0.247160046,-0.080168776,-0.114016869,0.020663581
-0.4,6,0.399005782,-0.034959646,-0.125989353,-0.045727983
-0.4,7,0.321047679,0.01977945,-0.051408458,0.069144631
-0.4,8,0.364996031,-0.005509039,-0.18564548,-0.031962767
-0.4,9,0.390332231,-0.002261352,-0.161015981,0.015216644
-0.4,10,0.344668238,-0.072501676,-0.171121948,-0.015344614
-0.4,11,0.290636813,-0.012691462,-0.102680543,-0.00496038
-0.4,12,0.357474901,-0.012767434,-0.145843803,0.010016661
-0.4,13,0.407387959,0.017291409,-0.160589192,-0.0083311
-0.4,14,0.369747899,-0.035006469,-0.176139011,0.007029777
-0.4,15,0.389904673,0.002373738,-0.191216885,0.009448257
-0.4,16,0.337126098,-0.032501613,-0.117773404,-0.017044907
-0.4,17,0.347490824,0.037317993,-0.15117854,-0.012544462
-0.4,18,0.329396457,-0.057580971,-0.107120326,0.016134173
-0.4,19,0.366976767,-0.012539552,-0.153645798,0.064485759
-0.4,20,0.374859343,0.032244452,-0.187088957,-0.002279839
-0.4,21,0.307256457,-0.010631645,-0.105730063,0.02784117
-0.4,22,0.344934493,0.039849977,-0.205329396,0.011891045
-0.4,23,0.34212892,-0.03757944,-0.100989104,-0.032232535
-0.4,24,0.324755765,-0.000756822,-0.156951143,0.012161058
-0.4,25,0.419767907,0.029611845,-0.141222829,0.007419375
-0.4,26,0.379810067,0.037161502,-0.126943782,-0.014244917
-0.4,27,0.354983875,-0.015310939,-0.08379588,0.058730683
-0.4,28,0.381571391,0.054976374,-0.18751133,0.009526095
-0.4,29,0.311328182,0.012053881,-0.165600113,0.033038357
-0.4,30,0.32,-0.022629427,-0.058953566,-0.019448164
-0.4,31,0.289928993,-0.073105298,-0.12206276,0.021014419
-0.4,32,0.321939541,-2.50E-05,-0.153500991,0.041905147
-0.4,33,0.354317998,-0.040026001,-0.167079373,-0.005386806
-0.4,34,0.337374722,-0.027861358,-0.109350858,0.01879472
-0.4,35,0.329056486,-0.060006625,-0.164986428,0.029506809
-0.4,36,0.383609268,0.011819082,-0.17087547,-0.062579476
-0.4,37,0.387284592,0.054787327,-0.127624671,0.018956479
-0.4,38,0.284995531,-0.112640819,-0.135058137,-0.060378728
-0.4,39,0.344934493,-0.017959672,-0.219995083,-0.047062085
-0.4,40,0.340024059,-0.025025626,-0.102888054,-0.006488439
-0.4,41,0.329056486,0.024262098,-0.134390984,-0.00399477
-0.4,42,0.315333673,-0.018341723,-0.074384822,0.034978593
-0.4,43,0.304721889,-0.035,-0.119878546,0.019183832
-0.4,44,0.309911088,-0.018074258,-0.191317783,0.007690616
-0.4,45,0.288715242,-0.075107511,-0.128212069,0.075733608
-0.4,46,0.399759904,-0.015158619,-0.113204801,-0.025491887
-0.4,47,0.360981332,0.03242592,-0.164308463,-0.0356596
-0.4,48,0.384014423,0.064798143,-0.111351181,0.003167814
-0.4,49,0.354673303,-0.017959672,-0.170456996,-0.015987074
-0.4,50,0.339405465,-0.045,-0.151155233,-0.005230335
-0.4,51,0.454781913,0.021825977,-0.19259708,0.032322039
-0.4,52,0.387338219,-0.055534364,-0.141003558,0.001691386
-0.4,53,0.344737895,-0.012539552,-0.141227796,-0.002974279
-0.4,54,0.379344433,0.039513754,-0.182989384,-0.071325979
-0.4,55,0.338175847,-0.012514238,-0.103830383,0.000872865
-0.4,56,0.333496201,-0.017692407,-0.163546733,-0.049546277
-0.4,57,0.337267008,-0.005760606,-0.083946448,0.03414912
-0.4,58,0.31904308,-0.025025626,-0.077153735,-0.019483264
-0.4,59,0.371784423,0.059006075,-0.107880582,0.012887955
-0.4,60,0.3884629,-0.055237428,-0.155738935,-0.010790132
-0.4,61,0.344983625,-0.020006375,-0.129671217,0.04216125
-0.4,62,0.321047679,-0.037501621,-0.105411499,-0.019797928
-0.4,63,0.349739896,0.01215271,-0.118816312,-0.040636528
-0.4,64,0.346565384,-0.021331589,-0.153178474,-0.023817076
-0.4,65,0.399264099,-0.017514309,-0.169405193,-0.064103528
-0.4,66,0.379996125,0.019975499,-0.149050038,-0.016130247
-0.4,67,0.28998225,-0.038514174,-0.110164273,0.047587212
-0.4,68,0.358974359,-0.073105298,-0.202706129,0.002767831
-0.4,69,0.294889827,-0.045026126,-0.126530111,-0.074792558
-0.4,70,0.351111988,-0.026083801,-0.140170569,0.02042441
-0.4,71,0.316811387,-0.045418167,-0.117353726,0.046913989
-0.4,72,0.311931268,-0.046890947,-0.105341461,0.012669612
-0.4,73,0.39233954,0.054521351,-0.180777933,-0.031288565
-0.4,74,0.352377559,0.034704378,-0.169834786,0.021536194
-0.4,75,0.33226525,-0.025025626,-0.18897863,0.017413458
-0.4,76,0.439102564,0.0674286,-0.216116757,-0.043543804
-0.4,77,0.391700657,0.00490049,-0.136042283,-0.07608069
-0.4,78,0.372420572,0.062498535,-0.093934078,0.035842672
-0.4,79,0.439576179,-0.057633857,-0.145114289,0.004932553
-0.4,80,0.302411711,-0.031450477,-0.092881954,0.038925464
-0.4,81,0.350623912,0.008785763,-0.172464708,-0.0497979
-0.4,82,0.338654898,-0.030779527,-0.12601572,-0.028506716
-0.4,83,0.307072381,-0.02796419,-0.13048806,0.012244075
-0.4,84,0.352450422,-0.010511571,-0.171291712,-0.007190069
-0.4,85,0.393164322,-0.017514309,-0.164545952,-0.045215894
-0.4,86,0.31999575,-0.025230677,-0.173162453,-0.07023571
-0.4,87,0.316336704,-0.078553275,-0.046034205,-0.017701101
-0.4,88,0.36471168,-0.010511571,-0.142777811,-0.03953321
-0.4,89,0.40986722,0.017424772,-0.110594221,0.07307217
-0.4,90,0.39,0.017498465,-0.156889998,-0.019833905
-0.4,91,0.307507025,-0.025230677,-0.125335401,-0.039318854
-0.4,92,0.327372831,-0.022539943,-0.060844026,0.054792789
-0.4,93,0.297498902,-0.027630059,-0.105244365,-7.66E-05
-0.4,94,0.30998275,-0.012514238,-0.109852742,0.065970709
-0.4,95,0.333625658,-0.014670443,-0.080289866,-0.061564411
-0.4,96,0.35451185,0.06,-0.169280569,0.050063291
-0.4,97,0.340741571,0.024975624,-0.17272472,-0.001308309
-0.4,98,0.297677948,-0.023845397,-0.11855935,0.06063251
-0.4,99,0.39606471,-0.007539357,-0.173471798,0.028570722
-0.5,0,0.325551476,-0.020229552,-0.177448932,-0.015289099
-0.5,1,0.328148208,-0.070669168,-0.022406257,0.049428718
-0.5,2,0.373103639,-0.000306344,-0.127237323,-0.034472585
-0.5,3,0.35839599,-0.056909042,-0.222061054,-0.092828132
-0.5,4,0.314982875,0.004103693,-0.155176724,-0.046643256
-0.5,5,0.393772389,0.000361711,-0.156491845,-0.045430758
-0.5,6,0.377421205,-0.042501629,-0.169436135,-0.036825875
-0.5,7,0.337498965,-0.00257676,-0.127937063,0.002434592
-0.5,8,0.293658163,-0.003643212,-0.094540401,-0.039617111
-0.5,9,0.357418673,0.008785763,-0.156744353,0.083301413
-0.5,10,0.354091691,0.017424772,-0.162993215,-0.041831896
-0.5,11,0.324729892,-0.060026501,-0.125163016,0.009344322
-0.5,12,0.324932493,0.008953207,-0.110710408,0.034711418
-0.5,13,0.409520219,-0.031263298,-0.192761018,-0.053403101
-0.5,14,0.33575532,-0.030025751,-0.12596859,0.034001059
-0.5,15,0.330381285,-0.017692407,-0.176328096,0.053920806
-0.5,16,0.368860003,0.03242592,-0.197464404,-0.021218519
