Gamma,Assortativity
1.0,-0.0608069212966924
1.0,-0.10563920028632809
1.0,-0.026215840982871233
1.0,-0.013865788055711275
1.0,0.009939174160588418
1.0,-0.010469551623235682
1.0,-0.0051397673785164725
1.0,0.037920859865954226
1.0,0.0025914862674781512
1.0,-0.0009372746935832015
1.0,0.022191960020041885
1.0,0.013564974471642684
1.0,0.03670540926274919
1.0,-0.005768444503133676
1.0,0.029881040268861944
1.0,0.00165944729889482
1.0,-0.07166013567231899
1.0,-0.03231697521039022
1.0,-0.03962994547940975
1.0,-0.012630298879010664
1.0,-0.024163418560568837
1.0,0.010771703253363725
1.0,0.020770477689472204
1.0,0.04882842327024765
1.0,0.01444845175579079
1.0,-0.04079419741651292
1.0,-0.0138038646703068
1.0,0.0023710208438143757
1.0,0.02081850946635502
1.0,0.057797689263199996
1.0,0.04796501854410027
1.0,0.007860152034251862
1.0,-0.08585462963304563
1.0,0.05469319637161739
1.0,0.006115643880514725
1.0,-0.022978654323438107
1.0,0.009011948263575934
1.0,0.015674799813487742
1.0,0.07302279000685871
1.0,-0.020725832276304368
1.0,0.038688916455002595
1.0,-0.0027815472294352014
1.0,0.0009196795484659368
1.0,0.037706768857917884
1.0,-0.02371250824205113
1.0,0.001573376358229878
1.0,-0.041587381358306044
1.0,-0.005471056261171353
-1.0,0.1804347657226497
-1.0,0.14359654259896887
-1.0,0.1410821081670525
-1.0,0.22125833159315805
-1.0,0.2379014764167294
-1.0,0.2090269875006291
-1.0,0.12214007474992028
-1.0,0.19551744736930005
-1.0,0.19750433768715212
-1.0,0.1465339831238005
-1.0,0.21355503155554076
-1.0,0.19816792260837574
-1.0,0.13870440696950923
-1.0,0.22478727804135798
-1.0,0.18515173846665495
-1.0,0.165385600909325
-1.0,0.18605237941658884
-1.0,0.16860236087279717
-1.0,0.2180407529513276
-1.0,0.3060539460539461
-1.0,0.20444214724575965
-1.0,0.11132420515936056
-1.0,0.19310059835170673
-1.0,0.1497123021199143
-1.0,0.11586672998746704
-1.0,0.10475289615759693
